address;is_alarm;floor_count_max;floor_count_min;entrance_count;quarters_count;living_quarters_count;unliving_quarters_count;area_total;area_residential;area_non_residential;area_common_property;area_land;basement_area
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 9;Нет;1;1;1;3;3;0;153,9;97,3;0;0;1530;0
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 11;Нет;1;1;1;1;1;0;53,7;40,2;0;0;1077;0
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 12;Нет;1;;1;12;;;748,4;478,4;0;;6820;0
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 13;Нет;1;1;1;3;3;0;150,1;82,7;0;0;690;0
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 14;Нет;1;;1;1;;;63,4;36,1;0;;1056;0
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 17;Нет;1;;1;3;;;118,1;83;0;;1770;0
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 19;Нет;1;1;1;3;3;0;112,8;82,2;0;0;1614;0
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 20;Нет;1;1;1;2;2;0;78,2;51,7;0;0;1470;0
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 22;Нет;1;1;1;6;6;0;238,2;160,2;0;0;3475;0
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 24;Нет;1;1;0;1;1;0;65,9;37,7;0;0;2015;0
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 34;Нет;1;1;1;1;1;0;68,2;39,4;0;0;1638;0
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 46;Нет;1;;1;1;;;68,2;46,4;0;;2078;0
обл. Оренбургская, г. Оренбург, ул. Казанская, д. 48;Нет;1;1;1;1;1;0;204,7;121,5;0;0;3477;0
обл. Оренбургская, г. Оренбург, пер. Казарменный, д. 22, стр. литер А2А3;Нет;1;;1;1;;;44;44;0;;561;0
обл. Оренбургская, г. Оренбург, ул. Казахская, д. 46;Нет;1;1;0;6;6;0;258,6;258,6;0;0;996;0
обл. Оренбургская, г. Оренбург, ул. Казахская, д. 48;Нет;1;1;0;6;6;0;384,1;384,1;0;0;1875;0
обл. Оренбургская, г. Оренбург, ул. Караванная, д. 1;Нет;1;1;0;2;2;0;125,2;125,2;0;0;1611;0
обл. Оренбургская, г. Оренбург, ул. Караванная, д. 2;Нет;1;1;0;3;3;0;148,2;148,2;0;0;2685;0
обл. Оренбургская, г. Оренбург, ул. Караванная, д. 3;Нет;1;1;0;3;3;0;136,8;136,8;0;0;1750;0
обл. Оренбургская, г. Оренбург, ул. Караванная, д. 4;Нет;1;;;2;;;91,9;91,9;0;;1015,3;0
обл. Оренбургская, г. Оренбург, ул. Караванная, д. 7;Нет;1;;;2;;;105,4;105,4;0;;747;0
обл. Оренбургская, г. Оренбург, ул. Караванная, д. 8;Нет;1;1;0;2;2;0;76,5;76,5;0;0;1170;0
обл. Оренбургская, г. Оренбург, ул. Караванная, д. 11;Нет;1;;;1;;;55;38,7;16,3;;359;
обл. Оренбургская, г. Оренбург, ул. Караванная, д. 15;Нет;1;1;0;2;2;0;133;133;0;0;2507;0
обл. Оренбургская, г. Оренбург, ул. Караванная, д. 16;Нет;1;1;0;2;2;0;97,3;97,3;0;0;1607;0
обл. Оренбургская, г. Оренбург, ул. Караванная, д. 18;Нет;1;1;0;3;3;0;242;242;0;0;2477;0
обл. Оренбургская, г. Оренбург, пер. Кардонный, д. 25 Литер А;Нет;1;;1;1;;;32,1;24;;;;
обл. Оренбургская, г. Оренбург, пер. Кардонный, д. 45 литер АА1;Нет;1;;1;1;;;42,7;26,5;;;;
обл. Оренбургская, г. Оренбург, пер. Кардонный, д. 49 а Литер А;Нет;1;;1;1;;;28,1;18,9;;;;
обл. Оренбургская, г. Оренбург, ул. Кирова, д. 25, стр. литер Б;Нет;1;1;1;1;1;0;90,7;90,7;0;0;1604,6;0
обл. Оренбургская, г. Оренбург, ул. Кобозева, д. 13, стр. литер ББ1Б2;Нет;1;1;1;1;1;0;54;54;0;0;867;0
обл. Оренбургская, г. Оренбург, ул. Кобозева, д. 44, стр. литер АА1;Нет;1;1;1;1;1;0;63,3;60,8;0;2,5;941;0
обл. Оренбургская, г. Оренбург, ул. Комарова, д. 3А;Нет;1;1;0;1;1;0;51,2;51,2;0;0;0;0
обл. Оренбургская, г. Оренбург, проезд. Коммунаров, д. 11 литерАА1;Нет;1;;;2;;;108,8;92,2;;;;
обл. Оренбургская, г. Оренбург, проезд. Коммунаров, д. 57, стр. литер ЕЕ1Е2;Нет;1;1;1;1;1;0;50,7;50,7;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Коммуны, д. 124;Нет;1;;1;1;;;22,2;13,7;;;;
обл. Оренбургская, г. Оренбург, ул. Комсомольская, д. 20, стр. литер А2;Нет;1;1;1;1;1;0;36,1;36,1;0;0;1953;0
обл. Оренбургская, г. Оренбург, ул. Комсомольская, д. 20, стр. литер А4;Нет;1;1;1;1;1;0;22,2;22,2;0;0;1953;0
обл. Оренбургская, г. Оренбург, ул. Комсомольская, д. 35, стр. литер А1;Нет;1;;;1;;;85,6;67,7;0;;754;17,9
обл. Оренбургская, г. Оренбург, ул. Комсомольская, д. 90, стр. литер В1;Нет;1;1;1;1;1;0;33,3;33,3;0;0;1244;0
обл. Оренбургская, г. Оренбург, ул. Комсомольская, д. 119 литер В;Нет;1;;1;1;;;37,9;29,1;;;;
обл. Оренбургская, г. Оренбург, ул. Комсомольская, д. 155 литер А1А2;Нет;1;;1;1;;;83;35,3;;;;
обл. Оренбургская, г. Оренбург, ул. Комсомольская, д. 173;Нет;1;1;1;1;1;0;32;16;0;0;1;0
обл. Оренбургская, г. Оренбург, ул. Комсомольская, д. 211, стр. АА1;Нет;1;;1;2;;;140,2;84,5;0;;;0
обл. Оренбургская, г. Оренбург, ул. Краснознаменная, д. 16, стр. литер АА2;Нет;1;1;1;1;1;0;90,7;53,7;0;37;679;37
обл. Оренбургская, г. Оренбург, ул. Краснознаменная, д. 35, стр. литер К;Нет;1;;;1;;;26,1;26,1;0;;784;0
обл. Оренбургская, г. Оренбург, ул. Кузнечная, д. 38;Нет;1;;1;1;;;34,3;25;;;;
обл. Оренбургская, г. Оренбург, ул. Левашова, д. 3, стр. литер ВВ1;Нет;1;;;1;;;34,8;34,8;0;;1100;0
обл. Оренбургская, г. Оренбург, пер. Мало-Торговый, д. 6, стр. литер В;Нет;1;1;1;1;1;0;52,7;52,7;0;0;730;0
обл. Оренбургская, г. Оренбург, пер. Матросский, д. 13, стр. литер Г;Нет;1;;1;1;;;82,8;39,6;0;;1306;43,2
обл. Оренбургская, г. Оренбург, ул. М.Горького, д. 15, стр. литер ББ1;Нет;2;1;1;1;1;0;69,3;69,3;0;0;762;0
обл. Оренбургская, г. Оренбург, ул. М.Горького, д. 32, стр. литер ВА1;Нет;1;1;1;1;1;0;32,4;32,4;0;0;1277;0
обл. Оренбургская, г. Оренбург, ул. М.Горького, д. 33, стр. литер А5А6;Нет;1;;1;1;;;27,3;27,3;0;;1053;0
обл. Оренбургская, г. Оренбург, ул. М.Горького, д. 51, стр. литер А;Нет;1;;1;1;;;84,4;50,9;0;;973;33,6
обл. Оренбургская, г. Оренбург, ул. М.Горького, д. 51, стр. литер А3А4;Нет;1;1;2;2;2;0;49,5;49,5;0;0;973;0
обл. Оренбургская, г. Оренбург, ул. М.Горького, д. 54, стр. литер ВВ1;Нет;1;;1;1;;;23,7;23,7;0;;715;0
обл. Оренбургская, г. Оренбург, ул. Механизаторов, д. 7 (дубль 1), к. А;Нет;1;1;0;2;2;0;111,1;111,1;0;0;1125;0
обл. Оренбургская, г. Оренбург, ул. Милиционерская, д. 29 Литер А;Нет;1;;1;1;;;55,1;55,1;;;;
обл. Оренбургская, г. Оренбург, ул. Милиционерская, д. 29 литер А1;Нет;1;;;2;;;55,4;42;;;;
обл. Оренбургская, г. Оренбург, ул. Мусы Джалиля, д. 13 литерА;Нет;2;;1;3;;;198,6;163,4;;;;
обл. Оренбургская, г. Оренбург, ул. Невельская, д. 10в;Нет;1;1;1;1;1;0;55,5;55,5;0;0;18503;0
обл. Оренбургская, г. Оренбург, ул. Новоселов, д. 62;Нет;1;1;0;4;4;0;164,4;164,4;0;0;1413,5;0
обл. Оренбургская, г. Оренбург, ул. Новоселов, д. 64;Нет;1;1;0;4;4;0;133,9;133,9;0;0;1372;0
обл. Оренбургская, г. Оренбург, ул. Новоселов, д. 65, стр. лите АА1;Нет;1;1;0;4;4;0;169;169;0;0;1429;0
обл. Оренбургская, г. Оренбург, ул. Новоселов, д. 66;Нет;1;1;0;4;4;0;162,6;162,6;0;0;1534;0
обл. Оренбургская, г. Оренбург, ул. Новоселов, д. 67;Нет;1;1;0;4;4;0;136,8;136,8;0;0;1593;0
обл. Оренбургская, г. Оренбург, ул. Новоселов, д. 88;Нет;1;;;1;;;50,9;27,6;;;563;
обл. Оренбургская, г. Оренбург, ул. Новоселов, д. 88, стр. литер А;Нет;1;1;0;1;1;0;50,9;50,9;0;0;3385;0
обл. Оренбургская, г. Оренбург, ул. Огородная, д. 2, к. А;Нет;1;1;0;2;2;0;95,4;95,4;0;0;966;0
обл. Оренбургская, г. Оренбург, ул. Одесская, д. 126;Нет;1;1;0;2;2;0;104,6;104,6;0;0;902;0
обл. Оренбургская, г. Оренбург, ул. Одесская, д. 128;Нет;1;1;0;2;2;0;158;158;0;0;1110;0
обл. Оренбургская, г. Оренбург, ул. Одесская, д. 134;Нет;1;1;0;2;2;0;106,6;106,6;0;0;1124;0
